""	"Lab_ID"	"year"	"vineyard"	"row_ID"	"unique_rowID"	"treatment"	"cover_type"	"variety"	"row_disturbance"	"plot_disturbance"	"green"	"dist_type"	"year."	"SOM_perc"	"CN"	"N_perc"	"Cu_mg.kg"	"pH"	"total_C_perc"	"clay"	"sand"	"plant_cover"	"plant_spec"	"plant_simp"	"plant_shannon"	"biomass"	"basal_res"	"sir"	"cmic"	"h2o_perc"	"wloss_g_perc"	"wlossr_perc"	"k"	"latitude"	"longitude"	"elevation"	"age_trtm"	"Cu_fungapp"	"fung_app"
"107_16"	"107_16"	"2016"	7	107	"107_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	2.813015606	-1.15932581826803	0.195	22.41	7.49	4.48	11.81552567	32.75629633	28.5	7	0.348862531	0.761503147	5.4752	2.5363938	16.55736444	440.4258941	17.70686394	50.83247098	19.68657306	NA	46.27903	7.4855	813.8	8	2	2
"108_16"	"108_16"	"2016"	8	108	"108_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	8.495303001	0.109264626476295	0.4	109.9	7.36	7.085	6.253269333	43.39044367	2.75	3	0.048084025	0.139453315	1.522533333	4.78539459	8.182252065	217.6479049	36.97486223	58.22529244	32.56545767	NA	46.27879	7.48561	795.2	30	2	2
"109_16"	"109_16"	"2016"	9	109	"109_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	6.159984874	0.109836238559785	0.29	110.6	7.35	6.9	11.85918267	39.461297	26.5	7	0.321174971	0.700711576	3.161311111	4.665498312	28.77283621	765.3574431	13.38872401	63.42194794	25.58687732	NA	46.27144	7.46859	606.5	8	0	2.6
"110_16"	"110_16"	"2016"	10	110	"110_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	4.683262665	-0.425639435300205	0.255	64.36	7.3	6.79	14.47057	32.09324367	14	4.5	0.188875788	0.397198658	1.4817	3.253560912	12.85357103	341.9049893	18.88856045	51.6205637	30.40952951	NA	46.27143	7.46939	605.6	34	0	2.6
"111_16"	"111_16"	"2016"	11	111	"111_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	8.107477071	-0.334606447617072	0.43	179.2	7.13	6.61	5.139601667	31.41526044	23	7.5	0.376505048	0.889495739	3.1967	5.743692876	29.60760796	787.5623718	24.17471426	62.19220064	33.07988451	NA	46.173159	7.178165	596.7	8	2	2
"112_16"	"112_16"	"2016"	12	112	"112_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	10.48992485	-0.477715814212635	0.58	134.1	6.95	8.07	4.336058333	44.018563	5	2	0.074347117	0.17836321	0.8937	3.616772105	15.92884272	423.7072165	28.31284993	65.308592	30.37845568	NA	46.173637	7.180159	584.5	36	2	2
"113-1_16"	"113.1_16"	"2016"	13	113	"113_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	7.336285234	-0.513599035959655	0.41	147.9	6.91	7.01	5.138937778	40.54489789	9.25	5	0.132766093	0.336409431	1.8982	4.412114195	21.75109633	578.5791624	18.28995725	64.12712721	NA	NA	46.173281	7.182083	567.5	10	2.666666667	2
"113-2_16"	"113.2_16"	"2016"	13	113	"113_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	7.336285234	-0.513599035959655	0.41	147.9	6.91	7.01	5.138937778	40.54489789	9.25	5	0.132766093	0.336409431	1.8982	4.412114195	21.75109633	578.5791624	18.28995725	64.12712721	NA	NA	46.173281	7.182083	567.5	10	2.666666667	2
"114-1_16"	"114.1_16"	"2016"	14	114	"114_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	11.29964634	0.321042179157449	0.505	47.89	6.96	8.94	6.835674222	44.58132111	16.75	4	0.194965158	0.393931156	1.963533333	5.696627034	35.21332551	936.6744586	22.60868439	51.50435633	37.96245524	NA	46.287274	7.513244	618.4	10	NA	3
"114-2_16"	"114.2_16"	"2016"	14	114	"114_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	11.29964634	0.321042179157449	0.505	47.89	6.96	8.94	6.835674222	44.58132111	16.75	4	0.194965158	0.393931156	1.963533333	5.696627034	35.21332551	936.6744586	22.60868439	51.50435633	37.96245524	NA	46.287274	7.513244	618.4	10	NA	3
"115_16"	"115_16"	"2016"	15	115	"115_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	14.2054449	0.386808261984516	0.625	77.67	7.2	12.925	6.798105333	56.51662	66	8.5	0.556411085	1.239807223	2.2167	6.910836522	43.79959603	1165.069254	26.54860607	57.49027663	29.08186036	NA	46.295633	7.529339	576.4	21	2.4	2.4
"116_16"	"116_16"	"2016"	16	116	"116_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	7.988718607	0.466320621244718	0.345	165.5	6.99	9.635	9.4432525	44.96259633	0.25	0.5	0.004273426	0.013838819	1.277533333	2.904830143	14.63935982	389.4069712	23.80716222	54.92229474	28.99808377	NA	46.295914	7.529895	573.1	60	0	2.3
"117-1_16"	"117.1_16"	"2016"	17	117	"117_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	2.238064826	0.541340889366583	0.095	46.13	7.18	1.925	3.969442333	32.52099589	22.25	6	0.230969376	0.50671363	0.910033333	2.367350805	6.059380014	161.1795084	14.1945441	46.07553602	25.80820374	NA	46.262004	7.507652	611.8	10	NA	3
"117-2_16"	"117.2_16"	"2016"	17	117	"117_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	2.238064826	0.541340889366583	0.095	46.13	7.18	1.925	3.969442333	32.52099589	22.25	6	0.230969376	0.50671363	0.910033333	2.367350805	6.059380014	161.1795084	14.1945441	46.07553602	25.80820374	NA	46.262004	7.507652	611.8	10	NA	3
"118-1_16"	"118.1_16"	"2016"	18	118	"118_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	5.3406	-0.293830476516459	0.28	73.3	6.86	3.105	3.987681833	24.95609667	13.75	7	0.177410625	0.470506542	4.993366667	1.847216737	9.536889547	253.6812619	15.246943	52.39358111	28.48848831	NA	46.26129	7.505756	622.1	10	NA	3
"118-2_16"	"118.2_16"	"2016"	18	118	"118_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	5.3406	-0.293830476516459	0.28	73.3	6.86	3.105	3.987681833	24.95609667	13.75	7	0.177410625	0.470506542	4.993366667	1.847216737	9.536889547	253.6812619	15.246943	52.39358111	28.48848831	NA	46.26129	7.505756	622.1	10	NA	3
"119_16"	"119_16"	"2016"	19	119	"119_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	7.545916687	-1.14337524135869	0.52	38.69	7.18	5.51	8.155599667	46.67750633	84	11.5	0.622297013	1.463679016	7.688366667	4.900412249	42.71248033	1136.151977	21.63152107	48.97800529	17.42111366	NA	46.29892	7.52267	723.9	31	1.6	2.4
"120-1_16"	"120.1_16"	"2016"	20	120	"120_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	5.636128211	-0.287881320336447	0.295	26.57	7.26	6.82	15.61258467	36.53326367	62.25	7.5	0.516130475	1.080181517	4.1767	4.535135266	24.43919172	650.0824998	22.50158877	54.20493138	30.38080582	NA	46.297626	7.517252	723.9	8	1.2	2.8
"120-2_16"	"120.2_16"	"2016"	20	120	"120_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	5.636128211	-0.287881320336447	0.295	26.57	7.26	6.82	15.61258467	36.53326367	62.25	7.5	0.516130475	1.080181517	4.1767	4.535135266	24.43919172	650.0824998	22.50158877	54.20493138	30.38080582	NA	46.297626	7.517252	723.9	8	1.2	2.8
"121_16"	"121_16"	"2016"	21	121	"121_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	4.159488595	0.457487342790094	0.18	53.88	7.1	6.735	7.727729333	56.64980033	16	4.5	0.212911944	0.48650386	1.685866667	3.281904874	10.8865409	289.5819879	17.93415204	57.47236684	30.53820537	NA	46.297439	7.515724	751.4	12	1.2	2.8
"122_16"	"122_16"	"2016"	22	122	"122_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	8.615785594	0.115835596724449	0.405	77.86	7.11	7.18	7.014622667	47.40319933	1	2	0.016161015	0.052855735	0.444533333	4.25958344	21.93366066	583.4353737	26.53988278	63.89672585	33.31841707	NA	46.28534	7.51514	555.1	30	2.8	2.8
"123_16"	"123_16"	"2016"	23	123	"123_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	6.555089316	0.363539770214255	0.29	47.53	7.01	6.98	4.848473667	63.28948467	80.25	7	0.543188524	1.049443275	4.3482	4.977723646	22.92955867	609.9262607	26.45515662	63.46833765	NA	NA	46.253698	7.401872	616.7	19	2.333333333	2.333333333
"124-1_16"	"124.1_16"	"2016"	24	124	"124_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	8.349020408	-0.537714770296569	0.47	173.1	6.99	6.975	9.0179765	35.95442283	19.25	5.5	0.196402367	0.431668618	2.4862	4.138882223	30.18815792	803.0050008	26.03552551	70.62800947	18.19680388	NA	46.25362	7.40484	601.3	9	1.2	2
"124-2_16"	"124.2_16"	"2016"	24	124	"124_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	8.349020408	-0.537714770296569	0.47	173.1	6.99	6.975	9.0179765	35.95442283	19.25	5.5	0.196402367	0.431668618	2.4862	4.138882223	30.18815792	803.0050008	26.03552551	70.62800947	18.19680388	NA	46.25362	7.40484	601.3	9	1.2	2
"125_16"	"125_16"	"2016"	25	125	"125_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	4.051498199	-0.0733679420561515	0.2	82.17	7.16	5.225	8.742435667	36.79045633	12.5	7.5	0.170594142	0.458409781	1.5307	2.305560973	9.538322462	253.7193775	19.88111693	63.44325134	36.54952625	NA	46.25344	7.40468	595.9	32	1.2	2
"126_16"	"126_16"	"2016"	26	126	"126_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	23.22	1.88141024104564	0.755	260.1	6.56	13.5	4.737177	55.61621267	0.25	0.5	0.003936946	0.012907926	0.5997	7.801591162	34.00529637	904.5408835	41.63638907	61.30761547	33.48708557	NA	46.19135	7.22965	533.2	26	2.5	2.5
"127_16"	"127_16"	"2016"	27	127	"127_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	25.3528	1.45895097960539	0.89	259.5	6.79	14.74	5.966496667	46.564867	51	7.5	0.409525218	0.729616933	1.8737	11.19465747	43.74565473	1163.634416	38.88723157	54.93617593	30.14522068	NA	46.1894	7.2303	519.6	10	2.5	2.5
"128-1_16"	"128.1_16"	"2016"	28	128	"128_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	20.7948	2.66244378540027	0.595	449.1	6.8	12.09	4.1850645	56.82759483	12	3.5	0.154330611	0.338841513	0.3792	6.322267301	34.44165834	916.1481118	35.38183681	61.22673767	35.57333851	NA	46.19415	7.23142	546.4	4	0.666666667	2.333333333
"129-1_16"	"129.1_16"	"2016"	29	129	"129_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	7.3874	-0.719148350551153	0.44	25.43	6.82	4.295	5.289007	38.54513883	52	9	0.446276668	0.911468309	5.409866667	4.199139339	33.93063152	902.5547984	19.30295142	48.52427581	19.93556092	NA	46.252469	7.46918	547.1	12	1.666666667	3.666666667
"129-2_16"	"129.2_16"	"2016"	29	129	"129_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"mech"	2016	7.3874	-0.719148350551153	0.44	25.43	6.82	4.295	5.289007	38.54513883	52	9	0.446276668	0.911468309	5.409866667	4.199139339	33.93063152	902.5547984	19.30295142	48.52427581	19.93556092	NA	46.252469	7.46918	547.1	12	1.666666667	3.666666667
"130_16"	"130_16"	"2016"	30	130	"130_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	5.2976	-0.557305712061991	0.3	45.33	6.75	3.08	4.390397667	22.63343	46.25	6.5	0.428119634	0.936553488	3.948033333	3.181296288	22.83169238	607.3230172	18.55826674	51.11506609	21.4317133	NA	46.252922	7.469382	540.1	22	1.142857143	2
"131_16"	"131_16"	"2016"	31	131	"131_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	7.3788	-0.722787989954289	0.44	118.9	5.36	4.29	5.094843667	15.29396667	7.75	3.5	0.099068364	0.239601869	1.0652	2.588427436	9.483209052	252.2533608	27.08254899	62.39054173	27.70633885	NA	46.25281	7.46833	541.9	31	1.2	2.4
"132-1_16"	"132.1_16"	"2016"	32	132	"132_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	21.8526	2.31995064843481	0.66	416.9	6.73	12.705	2.921489889	67.95855611	7.5	3.5	0.093467999	0.208586048	0.812033333	5.562805932	30.5930356	813.7747471	29.66674051	58.35447613	38.152641	NA	46.19415	7.23142	546.6	3	0.666666667	2.333333333
"132-2_16"	"132.2_16"	"2016"	32	132	"132_16"	"AC"	"altb"	"Chasselas"	3	2	"no"	"chem"	2016	21.8526	2.31995064843481	0.66	416.9	6.73	12.705	2.921489889	67.95855611	7.5	3.5	0.093467999	0.208586048	0.812033333	5.562805932	30.5930356	813.7747471	29.66674051	58.35447613	38.152641	NA	46.19415	7.23142	546.6	3	0.666666667	2.333333333
"133-1_16"	"133.1_16"	"2016"	33	133	"133_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	5.073318607	2.05892339221035	0.16	86.5	7.29	7.94	6.937083167	46.97681667	4	4.5	0.056908665	0.168645055	0.8447	2.078322269	8.848318913	235.3652831	18.09877715	54.13202634	33.78617241	NA	46.29496	7.540889	569.7	7	NA	2.3
"133-2_16"	"133.2_16"	"2016"	33	133	"133_16"	"AC"	"altb"	"Pinot_noir"	3	2	"no"	"chem"	2016	5.073318607	2.05892339221035	0.16	86.5	7.29	7.94	6.937083167	46.97681667	4	4.5	0.056908665	0.168645055	0.8447	2.078322269	8.848318913	235.3652831	18.09877715	54.13202634	33.78617241	NA	46.29496	7.540889	569.7	7	NA	2.3
"201-1_16"	"201.1_16"	"2016"	1	201	"201_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"mech"	2016	4.964171909	0.262840760960177	0.225	34.3	7.31	6.08	6.840605333	40.82425367	25	9	0.19058936	0.519791163	5.3037	3.165676918	16.14679818	429.5048316	18.56232195	60.59359458	NA	NA	46.316455	7.626288	628	10	NA	2.8
"201-2_16"	"201.2_16"	"2016"	1	201	"201_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"mech"	2016	4.964171909	0.262840760960177	0.225	34.3	7.31	6.08	6.840605333	40.82425367	25	9	0.19058936	0.519791163	5.3037	3.165676918	16.14679818	429.5048316	18.56232195	60.59359458	NA	NA	46.316455	7.626288	628	10	NA	2.8
"202-1_16"	"202.1_16"	"2016"	2	202	"202_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"mech"	2016	7.687388235	2.24589150137674	0.235	17.84	7.35	9.36	7.203794333	35.07606222	45.5	7.5	0.312169495	0.633174298	6.226533333	4.442963275	28.34417442	753.9550396	20.57688627	54.75084874	36.2416756	NA	46.30668	7.60748	596.1	37	2.333333333	2.333333333
"202-2_16"	"202.2_16"	"2016"	2	202	"202_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"mech"	2016	7.687388235	2.24589150137674	0.235	17.84	7.35	9.36	7.203794333	35.07606222	45.5	7.5	0.312169495	0.633174298	6.226533333	4.442963275	28.34417442	753.9550396	20.57688627	54.75084874	36.2416756	NA	46.30668	7.60748	596.1	37	2.333333333	2.333333333
"203_16"	"203_16"	"2016"	3	203	"203_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	6.589489316	-0.739128011786277	0.395	15.01	7	7	10.953908	28.93982867	90.5	6	0.473541335	0.902223035	4.315533333	3.816727843	32.6738698	869.1249368	25.62462605	54.74539054	25.9238684	NA	46.320127	7.616986	726.4	26	1.333333333	2.333333333
"204_16"	"204_16"	"2016"	4	204	"204_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	5.714942617	-1.00772408069402	0.375	28.01	7.16	4.695	13.11008233	21.59672633	6	0.5	0.052469136	0.107279578	0.338366667	2.379269033	14.23328522	378.6053868	27.52418612	52.41229108	27.93256962	NA	46.319192	7.618508	728.3	32	1.2	2.4
"205-1_16"	"205.1_16"	"2016"	5	205	"205_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"mech"	2016	7.874285954	-1.05264024092108	0.525	9.59	7.06	6.175	11.608951	21.60675	62.25	9.5	0.373641942	0.848922856	3.115033333	3.946046228	31.22429758	830.5663157	28.12046558	51.31562171	28.89747288	NA	46.318513	7.61903	734.5	26	0.666666667	2
"205-2_16"	"205.2_16"	"2016"	5	205	"205_16"	"AC"	"altg"	"Pinot_noir"	2	2	"green"	"mech"	2016	7.874285954	-1.05264024092108	0.525	9.59	7.06	6.175	11.608951	21.60675	62.25	9.5	0.373641942	0.848922856	3.115033333	3.946046228	31.22429758	830.5663157	28.12046558	51.31562171	28.89747288	NA	46.318513	7.61903	734.5	26	0.666666667	2
"206-1_16"	"206.1_16"	"2016"	6	206	"206_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	8.856244898	0.735395206924862	0.36	34.81	7.24	9.815	4.332216333	20.766096	40.5	8.5	0.272535812	0.627068592	3.180366667	4.273290762	25.03563457	665.9478797	16.15442473	NA	33.70138461	NA	46.294326	7.540146	563.4	12	NA	2.3
"206-2_16"	"206.2_16"	"2016"	6	206	"206_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	8.856244898	0.735395206924862	0.36	34.81	7.24	9.815	4.332216333	20.766096	40.5	8.5	0.272535812	0.627068592	3.180366667	4.273290762	25.03563457	665.9478797	16.15442473	NA	33.70138461	NA	46.294326	7.540146	563.4	12	NA	2.3
"207_16"	"207_16"	"2016"	7	207	"207_16"	"CC"	"green"	"Pinot_noir"	1	1	"green"	"green"	2016	3.028180792	-0.71287644115483	0.18	19.78	7.51	4.655	11.81552567	32.75629633	10.75	4	0.087436377	0.210647499	4.380866667	3.052235319	12.9499984	344.4699574	19.16532574	51.98656789	24.53345584	NA	46.27903	7.4855	813.8	8	2	2
"208_16"	"208_16"	"2016"	8	208	"208_16"	"aa_BG"	"aa_bare"	"Pinot_noir"	4	3	"no"	"chem"	2016	1.626133013	-1.32219103217341	0.12	29.08	7.51	3.765	6.253269333	43.39044367	13.5	6	0.113304068	0.271804845	1.832866667	1.917722729	6.60096661	175.5857118	16.37857861	59.09297432	32.77803043	NA	46.27879	7.48561	795.2	30	2	2
"209_16"	"209_16"	"2016"	9	209	"209_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	5.464210804	0.144649063288414	0.255	120.2	7.36	6.745	11.85918267	39.461297	15	4.5	0.127257055	0.31226503	3.4662	4.502690653	21.49125673	571.6674291	13.72580125	64.39609273	26.85071214	NA	46.27144	7.46859	606.5	8	0	2.6
"210_16"	"210_16"	"2016"	10	210	"210_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	3.823345258	0.00283834715236371	0.185	53.03	7.42	6.315	14.47057	32.09324367	4.25	3	0.038573177	0.111603992	1.1142	3.230635056	13.04857835	347.0921842	16.73035629	NA	NA	NA	46.27143	7.46939	605.6	34	0	2.6
"211_16"	"211_16"	"2016"	11	211	"211_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	5.312394478	-0.37457120217651	0.285	126.6	7.29	4.96	5.139601667	31.41526044	28.75	8.5	0.214653462	0.559211587	3.7602	2.876341595	16.62865197	442.3221423	20.67140082	61.79597202	32.75816674	NA	46.173159	7.178165	596.7	8	2	2
"212_16"	"212_16"	"2016"	12	212	"212_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	4.87602449	-0.659687873689243	0.285	121.4	7.25	5.38	4.336058333	44.018563	2.25	2	0.020465201	0.060960617	0.705866667	2.081371862	7.936797522	211.1188141	21.1350244	60.38288931	34.21190194	NA	46.173637	7.180159	584.5	36	2	2
"213-1_16"	"213.1_16"	"2016"	13	213	"213_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	3.235076351	-0.589291240062242	0.185	94.66	7.24	4.925	5.138937778	40.54489789	39	7	0.275586361	0.625871396	3.547866667	4.891296919	26.17974913	696.381327	22.39660066	63.19635004	NA	NA	46.173281	7.182083	567.5	10	2.666666667	2
"213-2_16"	"213.2_16"	"2016"	13	213	"213_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	3.235076351	-0.589291240062242	0.185	94.66	7.24	4.925	5.138937778	40.54489789	39	7	0.275586361	0.625871396	3.547866667	4.891296919	26.17974913	696.381327	22.39660066	63.19635004	NA	NA	46.173281	7.182083	567.5	10	2.666666667	2
"214-1_16"	"214.1_16"	"2016"	14	214	"214_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	8.641090036	0.818438789287342	0.345	33.65	7.28	7.045	6.835674222	44.58132111	35.5	2	0.191215152	0.304474835	4.331866667	2.836289904	13.63354511	362.6523	21.72533474	50.46711804	39.25944639	NA	46.287274	7.513244	618.4	10	NA	3
"214-2_16"	"214.2_16"	"2016"	14	214	"214_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	8.641090036	0.818438789287342	0.345	33.65	7.28	7.045	6.835674222	44.58132111	35.5	2	0.191215152	0.304474835	4.331866667	2.836289904	13.63354511	362.6523	21.72533474	50.46711804	39.25944639	NA	46.287274	7.513244	618.4	10	NA	3
"215_16"	"215_16"	"2016"	15	215	"215_16"	"CC"	"green"	"Chasselas"	1	1	"green"	"green"	2016	12.32295342	0.6983772710704	0.505	95.57	7.28	12.105	6.798105333	56.51662	48.5	8.5	0.320122892	0.773433874	1.914533333	4.602105315	32.8792777	874.5887868	24.39051319	62.35985732	18.74166787	NA	46.295633	7.529339	576.4	21	2.4	2.4
"216_16"	"216_16"	"2016"	16	216	"216_16"	"aa_BG"	"aa_bare"	"Chasselas"	4	3	"no"	"chem"	2016	9.618919328	2.43923831814394	0.285	108	7.14	9.435	9.4432525	44.96259633	1	1.5	0.009163694	0.030955875	1.2122	3.10152421	17.61552599	468.5729914	23.07123814	58.55328311	27.21412702	NA	46.295914	7.529895	573.1	60	0	2.3
"217-2_16"	"217.2_16"	"2016"	17	217	"217_16"	"AC"	"altg"	"Chasselas"	2	2	"green"	"chem"	2016	6.554686675	-0.307699631547342	0.345	41.74	7.03	4.26	3.969442333	32.52099589	36	6.5	0.242225992	0.572244999	2.5352	3.078607186	21.45326369	570.6568141	15.69397071	54.39088859	25.67280055	NA	46.262004	7.507652	611.8	10	NA	3
